index,letter_id,arabic,audio_asset_id,audio_basename,audio_filename
1,alif,ا,audio.letter.alif.name,alif_name,alif_name.mp3
2,alif,ا,audio.letter.alif.sound,alif_sound,alif_sound.mp3
3,ba,ب,audio.letter.ba.name,ba_name,ba_name.mp3
4,ba,ب,audio.letter.ba.sound,ba_sound,ba_sound.mp3
5,ta,ت,audio.letter.ta.name,ta_name,ta_name.mp3
6,ta,ت,audio.letter.ta.sound,ta_sound,ta_sound.mp3
7,tha,ث,audio.letter.tha.name,tha_name,tha_name.mp3
8,tha,ث,audio.letter.tha.sound,tha_sound,tha_sound.mp3
9,jim,ج,audio.letter.jim.name,jim_name,jim_name.mp3
10,jim,ج,audio.letter.jim.sound,jim_sound,jim_sound.mp3
11,ha,ح,audio.letter.ha.name,ha_name,ha_name.mp3
12,ha,ح,audio.letter.ha.sound,ha_sound,ha_sound.mp3
13,kha,خ,audio.letter.kha.name,kha_name,kha_name.mp3
14,kha,خ,audio.letter.kha.sound,kha_sound,kha_sound.mp3
15,dal,د,audio.letter.dal.name,dal_name,dal_name.mp3
16,dal,د,audio.letter.dal.sound,dal_sound,dal_sound.mp3
17,thal,ذ,audio.letter.thal.name,thal_name,thal_name.mp3
18,thal,ذ,audio.letter.thal.sound,thal_sound,thal_sound.mp3
19,ra,ر,audio.letter.ra.name,ra_name,ra_name.mp3
20,ra,ر,audio.letter.ra.sound,ra_sound,ra_sound.mp3
21,zay,ز,audio.letter.zay.name,zay_name,zay_name.mp3
22,zay,ز,audio.letter.zay.sound,zay_sound,zay_sound.mp3
23,sin,س,audio.letter.sin.name,sin_name,sin_name.mp3
24,sin,س,audio.letter.sin.sound,sin_sound,sin_sound.mp3
25,shin,ش,audio.letter.shin.name,shin_name,shin_name.mp3
26,shin,ش,audio.letter.shin.sound,shin_sound,shin_sound.mp3
27,sad,ص,audio.letter.sad.name,sad_name,sad_name.mp3
28,sad,ص,audio.letter.sad.sound,sad_sound,sad_sound.mp3
29,dad,ض,audio.letter.dad.name,dad_name,dad_name.mp3
30,dad,ض,audio.letter.dad.sound,dad_sound,dad_sound.mp3
31,tah,ط,audio.letter.tah.name,tah_name,tah_name.mp3
32,tah,ط,audio.letter.tah.sound,tah_sound,tah_sound.mp3
33,zah,ظ,audio.letter.zah.name,zah_name,zah_name.mp3
34,zah,ظ,audio.letter.zah.sound,zah_sound,zah_sound.mp3
35,ain,ع,audio.letter.ain.name,ain_name,ain_name.mp3
36,ain,ع,audio.letter.ain.sound,ain_sound,ain_sound.mp3
37,ghain,غ,audio.letter.ghain.name,ghain_name,ghain_name.mp3
38,ghain,غ,audio.letter.ghain.sound,ghain_sound,ghain_sound.mp3
39,fa,ف,audio.letter.fa.name,fa_name,fa_name.mp3
40,fa,ف,audio.letter.fa.sound,fa_sound,fa_sound.mp3
41,qaf,ق,audio.letter.qaf.name,qaf_name,qaf_name.mp3
42,qaf,ق,audio.letter.qaf.sound,qaf_sound,qaf_sound.mp3
43,kaf,ك,audio.letter.kaf.name,kaf_name,kaf_name.mp3
44,kaf,ك,audio.letter.kaf.sound,kaf_sound,kaf_sound.mp3
45,lam,ل,audio.letter.lam.name,lam_name,lam_name.mp3
46,lam,ل,audio.letter.lam.sound,lam_sound,lam_sound.mp3
47,mim,م,audio.letter.mim.name,mim_name,mim_name.mp3
48,mim,م,audio.letter.mim.sound,mim_sound,mim_sound.mp3
49,nun,ن,audio.letter.nun.name,nun_name,nun_name.mp3
50,nun,ن,audio.letter.nun.sound,nun_sound,nun_sound.mp3
51,haa,ه,audio.letter.haa.name,haa_name,haa_name.mp3
52,haa,ه,audio.letter.haa.sound,haa_sound,haa_sound.mp3
53,waw,و,audio.letter.waw.name,waw_name,waw_name.mp3
54,waw,و,audio.letter.waw.sound,waw_sound,waw_sound.mp3
55,ya,ي,audio.letter.ya.name,ya_name,ya_name.mp3
56,ya,ي,audio.letter.ya.sound,ya_sound,ya_sound.mp3
