index,content_id,legacy_id,arabic,diacritized,audio_asset_id,audio_basename,audio_filename,category
1,word.khubz,food-1,خبز,خُبْز,audio.word.khubz,khubz,khubz.mp3,food
2,word.aruzz,food-2,أرز,أَرُزّ,audio.word.aruzz,aruzz,aruzz.mp3,food
3,word.halib,food-3,حليب,حَلِيب,audio.word.halib,halib,halib.mp3,food
4,word.jubn,food-4,جبن,جُبْن,audio.word.jubn,jubn,jubn.mp3,food
5,word.zubda,food-5,زبدة,زُبْدَة,audio.word.zubda,zubda,zubda.mp3,food
6,word.bayd,food-6,بيض,بَيْض,audio.word.bayd,bayd,bayd.mp3,food
7,word.lahm,food-7,لحم,لَحْم,audio.word.lahm,lahm,lahm.mp3,food
8,word.dajaj,food-8,دجاج,دَجَاج,audio.word.dajaj,dajaj,dajaj.mp3,food
9,word.samak,food-9,سمك,سَمَك,audio.word.samak,samak,samak.mp3,food
10,word.salata,food-10,سلطة,سَلَطَة,audio.word.salata,salata,salata.mp3,food
11,word.shurba,food-11,شوربة,شُورْبَة,audio.word.shurba,shurba,shurba.mp3,food
12,word.makaruna,food-12,معكرونة,مَعْكَرُونَة,audio.word.makaruna,makaruna,makaruna.mp3,food
13,word.bitzaa,food-13,بيتزا,بِيتْزَا,audio.word.bitzaa,bitzaa,bitzaa.mp3,food
14,word.sandawish,food-14,سندويش,سَنْدَوِيش,audio.word.sandawish,sandawish,sandawish.mp3,food
15,word.fatira,food-15,فطيرة,فَطِيرَة,audio.word.fatira,fatira,fatira.mp3,food
16,word.kaka,food-16,كعكة,كَعْكَة,audio.word.kaka,kaka,kaka.mp3,food
17,word.biskuwit,food-17,بسكويت,بِسْكُوِيت,audio.word.biskuwit,biskuwit,biskuwit.mp3,food
18,word.shukulaata,food-18,شوكولاتة,شُوكُولَاتَة,audio.word.shukulaata,shukulaata,shukulaata.mp3,food
19,word.asal,food-19,عسل,عَسَل,audio.word.asal,asal,asal.mp3,food
20,word.murabba,food-20,مربى,مُرَبَّى,audio.word.murabba,murabba,murabba.mp3,food
21,word.sukkar,food-21,سكر,سُكَّر,audio.word.sukkar,sukkar,sukkar.mp3,food
22,word.milh,food-22,ملح,مِلْح,audio.word.milh,milh,milh.mp3,food
23,word.zayt,food-23,زيت,زَيْت,audio.word.zayt,zayt,zayt.mp3,food
24,word.daqiq,food-24,دقيق,دَقِيق,audio.word.daqiq,daqiq,daqiq.mp3,food
25,word.hasaa,food-25,حساء,حَسَاء,audio.word.hasaa,hasaa,hasaa.mp3,food
26,word.ful,food-26,فول,فُول,audio.word.ful,ful,ful.mp3,food
27,word.adas,food-27,عدس,عَدَس,audio.word.adas,adas,adas.mp3,food
28,word.hummus,food-28,حمص,حُمُّص,audio.word.hummus,hummus,hummus.mp3,food
29,word.falaafil,food-29,فلافل,فَلَافِل,audio.word.falaafil,falaafil,falaafil.mp3,food
30,word.shaawarmaa,food-30,شاورما,شَاوَرْمَا,audio.word.shaawarmaa,shaawarmaa,shaawarmaa.mp3,food
31,word.kuskus,food-31,كسكس,كُسْكُس,audio.word.kuskus,kuskus,kuskus.mp3,food
