index,content_id,legacy_id,arabic,diacritized,audio_asset_id,audio_basename,audio_filename,category
1,word.tamaatim,vegetables-1,طماطم,طَمَاطِم,audio.word.tamaatim,tamaatim,tamaatim.mp3,vegetables
2,word.khiyaar,vegetables-2,خيار,خِيَار,audio.word.khiyaar,khiyaar,khiyaar.mp3,vegetables
3,word.jazar,vegetables-3,جزر,جَزَر,audio.word.jazar,jazar,jazar.mp3,vegetables
4,word.bataataa,vegetables-4,بطاطا,بَطَاطَا,audio.word.bataataa,bataataa,bataataa.mp3,vegetables
5,word.basal,vegetables-5,بصل,بَصَل,audio.word.basal,basal,basal.mp3,vegetables
6,word.thum,vegetables-6,ثوم,ثُوم,audio.word.thum,thum,thum.mp3,vegetables
7,word.fulful,vegetables-7,فلفل,فُلْفُل,audio.word.fulful,fulful,fulful.mp3,vegetables
8,word.baadhinjaan,vegetables-8,باذنجان,بَاذِنْجَان,audio.word.baadhinjaan,baadhinjaan,baadhinjaan.mp3,vegetables
9,word.kusaa,vegetables-9,كوسا,كُوسَا,audio.word.kusaa,kusaa,kusaa.mp3,vegetables
10,word.malfuf,vegetables-10,ملفوف,مَلْفُوف,audio.word.malfuf,malfuf,malfuf.mp3,vegetables
11,word.khass,vegetables-11,خس,خَسّ,audio.word.khass,khass,khass.mp3,vegetables
12,word.sabaanikh,vegetables-12,سبانخ,سَبَانِخ,audio.word.sabaanikh,sabaanikh,sabaanikh.mp3,vegetables
13,word.baqdunis,vegetables-13,بقدونس,بَقْدُونِس,audio.word.baqdunis,baqdunis,baqdunis.mp3,vegetables
14,word.nanaa,vegetables-14,نعناع,نَعْنَاع,audio.word.nanaa,nanaa,nanaa.mp3,vegetables
15,word.fijl,vegetables-15,فجل,فِجْل,audio.word.fijl,fijl,fijl.mp3,vegetables
16,word.shamandar,vegetables-16,شمندر,شَمَنْدَر,audio.word.shamandar,shamandar,shamandar.mp3,vegetables
17,word.lift,vegetables-17,لفت,لِفْت,audio.word.lift,lift,lift.mp3,vegetables
18,word.qarnabit,vegetables-18,قرنبيط,قَرْنَبِيط,audio.word.qarnabit,qarnabit,qarnabit.mp3,vegetables
19,word.brukuli,vegetables-19,بروكلي,بْرُوكُلِي,audio.word.brukuli,brukuli,brukuli.mp3,vegetables
20,word.dhura,vegetables-20,ذرة,ذُرَة,audio.word.dhura,dhura,dhura.mp3,vegetables
21,word.baazillaa,vegetables-21,بازلاء,بَازِلَّاء,audio.word.baazillaa,baazillaa,baazillaa.mp3,vegetables
22,word.faasulyaa,vegetables-22,فاصوليا,فَاصُولْيَا,audio.word.faasulyaa,faasulyaa,faasulyaa.mp3,vegetables
23,word.baamya,vegetables-23,بامية,بَامْيَة,audio.word.baamya,baamya,baamya.mp3,vegetables
24,word.karafs,vegetables-24,كرفس,كَرَفْس,audio.word.karafs,karafs,karafs.mp3,vegetables
25,word.qar,vegetables-25,قرع,قَرْع,audio.word.qar,qar,qar.mp3,vegetables
26,word.yaqtin,vegetables-26,يقطين,يَقْطِين,audio.word.yaqtin,yaqtin,yaqtin.mp3,vegetables
27,word.zanjabil,vegetables-27,زنجبيل,زَنْجَبِيل,audio.word.zanjabil,zanjabil,zanjabil.mp3,vegetables
28,word.kuzbara,vegetables-28,كزبرة,كُزْبَرَة,audio.word.kuzbara,kuzbara,kuzbara.mp3,vegetables
29,word.jirjir,vegetables-29,جرجير,جِرْجِير,audio.word.jirjir,jirjir,jirjir.mp3,vegetables
30,word.bataataa_hulwa,vegetables-30,بطاطا حلوة,بَطَاطَا حُلْوَة,audio.word.bataataa_hulwa,bataataa_hulwa,bataataa_hulwa.mp3,vegetables
