index,content_id,legacy_id,arabic,diacritized,audio_asset_id,audio_basename,audio_filename,category
1,word.umm,family-1,أم,أُمّ,audio.word.umm,umm,umm.mp3,family
2,word.ab,family-2,أب,أَب,audio.word.ab,ab,ab.mp3,family
3,word.akh,family-3,أخ,أَخ,audio.word.akh,akh,akh.mp3,family
4,word.ukht,family-4,أخت,أُخْت,audio.word.ukht,ukht,ukht.mp3,family
5,word.jadd,family-5,جد,جَدّ,audio.word.jadd,jadd,jadd.mp3,family
6,word.jadda,family-6,جدة,جَدَّة,audio.word.jadda,jadda,jadda.mp3,family
7,word.amm,family-7,عم,عَمّ,audio.word.amm,amm,amm.mp3,family
8,word.amma,family-8,عمة,عَمَّة,audio.word.amma,amma,amma.mp3,family
9,word.khaal,family-9,خال,خَال,audio.word.khaal,khaal,khaal.mp3,family
10,word.khaala,family-10,خالة,خَالَة,audio.word.khaala,khaala,khaala.mp3,family
11,word.ibn,family-11,ابن,اِبْن,audio.word.ibn,ibn,ibn.mp3,family
12,word.ibna,family-12,ابنة,اِبْنَة,audio.word.ibna,ibna,ibna.mp3,family
13,word.tifl,family-13,طفل,طِفْل,audio.word.tifl,tifl,tifl.mp3,family
14,word.radi,family-14,رضيع,رَضِيع,audio.word.radi,radi,radi.mp3,family
15,word.waalidaan,family-15,والدان,وَالِدَان,audio.word.waalidaan,waalidaan,waalidaan.mp3,family
16,word.aayila,family-16,عائلة,عَائِلَة,audio.word.aayila,aayila,aayila.mp3,family
17,word.hafid,family-17,حفيد,حَفِيد,audio.word.hafid,hafid,hafid.mp3,family
18,word.hafida,family-18,حفيدة,حَفِيدَة,audio.word.hafida,hafida,hafida.mp3,family
19,word.tawam,family-19,توأم,تَوْأَم,audio.word.tawam,tawam,tawam.mp3,family
20,word.sadiq,family-20,صديق,صَدِيق,audio.word.sadiq,sadiq,sadiq.mp3,family
21,word.sadiqa,family-21,صديقة,صَدِيقَة,audio.word.sadiqa,sadiqa,sadiqa.mp3,family
22,word.jaar,family-22,جار,جَار,audio.word.jaar,jaar,jaar.mp3,family
23,word.jaara,family-23,جارة,جَارَة,audio.word.jaara,jaara,jaara.mp3,family
24,word.dayf,family-24,ضيف,ضَيْف,audio.word.dayf,dayf,dayf.mp3,family
25,word.zawj,family-25,زوج,زَوْج,audio.word.zawj,zawj,zawj.mp3,family
26,word.zawja,family-26,زوجة,زَوْجَة,audio.word.zawja,zawja,zawja.mp3,family
27,word.usra,family-27,أسرة,أُسْرَة,audio.word.usra,usra,usra.mp3,family
28,word.abnaa,family-28,أبناء,أَبْنَاء,audio.word.abnaa,abnaa,abnaa.mp3,family
29,word.banaat,family-29,بنات,بَنَات,audio.word.banaat,banaat,banaat.mp3,family
30,word.awlaad,family-30,أولاد,أَوْلَاد,audio.word.awlaad,awlaad,awlaad.mp3,family
31,word.shaabb,family-31,شاب,شَابّ,audio.word.shaabb,shaabb,shaabb.mp3,family
32,word.fataa,family-32,فتاة,فَتَاة,audio.word.fataa,fataa,fataa.mp3,family
33,word.rajul,family-33,رجل,رَجُل,audio.word.rajul,rajul,rajul.mp3,family
34,word.imraa,family-34,امرأة,اِمْرَأَة,audio.word.imraa,imraa,imraa.mp3,family
35,word.ajuz,family-35,عجوز,عَجُوز,audio.word.ajuz,ajuz,ajuz.mp3,family
36,word.murabbiya,family-36,مربية,مُرَبِّيَة,audio.word.murabbiya,murabbiya,murabbiya.mp3,family
37,word.qarib,family-37,قريب,قَرِيب,audio.word.qarib,qarib,qarib.mp3,family
38,word.nasib,family-38,نسيب,نَسِيب,audio.word.nasib,nasib,nasib.mp3,family
39,word.salaf,family-39,سلف,سَلَف,audio.word.salaf,salaf,salaf.mp3,family
40,word.habib,family-40,حبيب,حَبِيب,audio.word.habib,habib,habib.mp3,family
