index,content_id,legacy_id,arabic,diacritized,audio_asset_id,audio_basename,audio_filename,category
1,word.ras,body-1,رأس,رَأْس,audio.word.ras,ras,ras.mp3,body
2,word.shaar,body-2,شعر,شَعْر,audio.word.shaar,shaar,shaar.mp3,body
3,word.wajh,body-3,وجه,وَجْه,audio.word.wajh,wajh,wajh.mp3,body
4,word.ayn,body-4,عين,عَيْن,audio.word.ayn,ayn,ayn.mp3,body
5,word.udhun,body-5,أذن,أُذُن,audio.word.udhun,udhun,udhun.mp3,body
6,word.anf,body-6,أنف,أَنْف,audio.word.anf,anf,anf.mp3,body
7,word.fam,body-7,فم,فَم,audio.word.fam,fam,fam.mp3,body
8,word.shafa,body-8,شفة,شَفَة,audio.word.shafa,shafa,shafa.mp3,body
9,word.lisaan,body-9,لسان,لِسَان,audio.word.lisaan,lisaan,lisaan.mp3,body
10,word.sinn,body-10,سن,سِنّ,audio.word.sinn,sinn,sinn.mp3,body
11,word.khadd,body-11,خد,خَدّ,audio.word.khadd,khadd,khadd.mp3,body
12,word.dhaqn,body-12,ذقن,ذَقْن,audio.word.dhaqn,dhaqn,dhaqn.mp3,body
13,word.jabin,body-13,جبين,جَبِين,audio.word.jabin,jabin,jabin.mp3,body
14,word.raqaba,body-14,رقبة,رَقَبَة,audio.word.raqaba,raqaba,raqaba.mp3,body
15,word.katif,body-15,كتف,كَتِف,audio.word.katif,katif,katif.mp3,body
16,word.dhiraa,body-16,ذراع,ذِرَاع,audio.word.dhiraa,dhiraa,dhiraa.mp3,body
17,word.yad,body-17,يد,يَد,audio.word.yad,yad,yad.mp3,body
18,word.isba,body-18,إصبع,إِصْبَع,audio.word.isba,isba,isba.mp3,body
19,word.zufr,body-19,ظفر,ظُفْر,audio.word.zufr,zufr,zufr.mp3,body
20,word.mirfaq,body-20,مرفق,مِرْفَق,audio.word.mirfaq,mirfaq,mirfaq.mp3,body
21,word.sadr,body-21,صدر,صَدْر,audio.word.sadr,sadr,sadr.mp3,body
22,word.batn,body-22,بطن,بَطْن,audio.word.batn,batn,batn.mp3,body
23,word.zahr,body-23,ظهر,ظَهْر,audio.word.zahr,zahr,zahr.mp3,body
24,word.khasr,body-24,خصر,خَصْر,audio.word.khasr,khasr,khasr.mp3,body
25,word.saaq,body-25,ساق,سَاق,audio.word.saaq,saaq,saaq.mp3,body
26,word.rukba,body-26,ركبة,رُكْبَة,audio.word.rukba,rukba,rukba.mp3,body
27,word.qadam,body-27,قدم,قَدَم,audio.word.qadam,qadam,qadam.mp3,body
28,word.kab,body-28,كعب,كَعْب,audio.word.kab,kab,kab.mp3,body
29,word.qalb,body-29,قلب,قَلْب,audio.word.qalb,qalb,qalb.mp3,body
30,word.dimaagh,body-30,دماغ,دِمَاغ,audio.word.dimaagh,dimaagh,dimaagh.mp3,body
31,word.azm,body-31,عظم,عَظْم,audio.word.azm,azm,azm.mp3,body
32,word.jild,body-32,جلد,جِلْد,audio.word.jild,jild,jild.mp3,body
33,word.dam,body-33,دم,دَم,audio.word.dam,dam,dam.mp3,body
34,word.riya,body-34,رئة,رِئَة,audio.word.riya,riya,riya.mp3,body
35,word.maida,body-35,معدة,مَعِدَة,audio.word.maida,maida,maida.mp3,body
36,word.haajib,body-36,حاجب,حَاجِب,audio.word.haajib,haajib,haajib.mp3,body
37,word.rumush,body-37,رموش,رُمُوش,audio.word.rumush,rumush,rumush.mp3,body
38,word.kaff,body-38,كف,كَفّ,audio.word.kaff,kaff,kaff.mp3,body
39,word.qabda,body-39,قبضة,قَبْضَة,audio.word.qabda,qabda,qabda.mp3,body
40,word.jism,body-40,جسم,جِسْم,audio.word.jism,jism,jism.mp3,body
