index,content_id,legacy_id,arabic,diacritized,audio_asset_id,audio_basename,audio_filename,category
1,word.ahmar,colors-1,أحمر,أَحْمَر,audio.word.ahmar,ahmar,ahmar.mp3,colors
2,word.azraq,colors-2,أزرق,أَزْرَق,audio.word.azraq,azraq,azraq.mp3,colors
3,word.asfar,colors-3,أصفر,أَصْفَر,audio.word.asfar,asfar,asfar.mp3,colors
4,word.akhdar,colors-4,أخضر,أَخْضَر,audio.word.akhdar,akhdar,akhdar.mp3,colors
5,word.burtuqaali,colors-5,برتقالي,بُرْتُقَالِيّ,audio.word.burtuqaali,burtuqaali,burtuqaali.mp3,colors
6,word.banafsaji,colors-6,بنفسجي,بَنَفْسَجِيّ,audio.word.banafsaji,banafsaji,banafsaji.mp3,colors
7,word.wardi,colors-7,وردي,وَرْدِيّ,audio.word.wardi,wardi,wardi.mp3,colors
8,word.bunni,colors-8,بني,بُنِّيّ,audio.word.bunni,bunni,bunni.mp3,colors
9,word.aswad,colors-9,أسود,أَسْوَد,audio.word.aswad,aswad,aswad.mp3,colors
10,word.abyad,colors-10,أبيض,أَبْيَض,audio.word.abyad,abyad,abyad.mp3,colors
11,word.ramaadi,colors-11,رمادي,رَمَادِيّ,audio.word.ramaadi,ramaadi,ramaadi.mp3,colors
12,word.dhahabi,colors-12,ذهبي,ذَهَبِيّ,audio.word.dhahabi,dhahabi,dhahabi.mp3,colors
13,word.fiddi,colors-13,فضي,فِضِّيّ,audio.word.fiddi,fiddi,fiddi.mp3,colors
14,word.samaawi,colors-14,سماوي,سَمَاوِيّ,audio.word.samaawi,samaawi,samaawi.mp3,colors
15,word.faatih,colors-15,فاتح,فَاتِح,audio.word.faatih,faatih,faatih.mp3,colors
16,word.ghaamiq,colors-16,غامق,غَامِق,audio.word.ghaamiq,ghaamiq,ghaamiq.mp3,colors
17,word.fayruzi,colors-17,فيروزي,فَيْرُوزِيّ,audio.word.fayruzi,fayruzi,fayruzi.mp3,colors
18,word.bayj,colors-18,بيج,بَيْج,audio.word.bayj,bayj,bayj.mp3,colors
19,word.nili,colors-19,نيلي,نِيلِيّ,audio.word.nili,nili,nili.mp3,colors
20,word.mulawwan,colors-20,ملون,مُلَوَّن,audio.word.mulawwan,mulawwan,mulawwan.mp3,colors
