index,content_id,legacy_id,arabic,diacritized,audio_asset_id,audio_basename,audio_filename,category
1,word.bayt,home-1,بيت,بَيْت,audio.word.bayt,bayt,bayt.mp3,home
2,word.bab,home-2,باب,بَاب,audio.word.bab,bab,bab.mp3,home
3,word.nafidha,home-3,نافذة,نَافِذَة,audio.word.nafidha,nafidha,nafidha.mp3,home
4,word.ghurfa,home-4,غرفة,غُرْفَة,audio.word.ghurfa,ghurfa,ghurfa.mp3,home
5,word.sarir,home-5,سرير,سَرِير,audio.word.sarir,sarir,sarir.mp3,home
6,word.wisaada,home-6,وسادة,وِسَادَة,audio.word.wisaada,wisaada,wisaada.mp3,home
7,word.battaaniya,home-7,بطانية,بَطَّانِيَة,audio.word.battaaniya,battaaniya,battaaniya.mp3,home
8,word.kursi,home-8,كرسي,كُرْسِيّ,audio.word.kursi,kursi,kursi.mp3,home
9,word.tawila,home-9,طاولة,طَاوِلَة,audio.word.tawila,tawila,tawila.mp3,home
10,word.khizaana,home-10,خزانة,خِزَانَة,audio.word.khizaana,khizaana,khizaana.mp3,home
11,word.miraa,home-11,مرآة,مِرْآة,audio.word.miraa,miraa,miraa.mp3,home
12,word.sajjaada,home-12,سجادة,سَجَّادَة,audio.word.sajjaada,sajjaada,sajjaada.mp3,home
13,word.misbaah,home-13,مصباح,مِصْبَاح,audio.word.misbaah,misbaah,misbaah.mp3,home
14,word.saa,home-14,ساعة,سَاعَة,audio.word.saa,saa,saa.mp3,home
15,word.tilfaaz,home-15,تلفاز,تِلْفَاز,audio.word.tilfaaz,tilfaaz,tilfaaz.mp3,home
16,word.thallaaja,home-16,ثلاجة,ثَلَّاجَة,audio.word.thallaaja,thallaaja,thallaaja.mp3,home
17,word.furn,home-17,فرن,فُرْن,audio.word.furn,furn,furn.mp3,home
18,word.mikwaa,home-18,مكواة,مِكْوَاة,audio.word.mikwaa,mikwaa,mikwaa.mp3,home
19,word.miknasa,home-19,مكنسة,مِكْنَسَة,audio.word.miknasa,miknasa,miknasa.mp3,home
20,word.matbakh,home-20,مطبخ,مَطْبَخ,audio.word.matbakh,matbakh,matbakh.mp3,home
21,word.hammam,home-21,حمام,حَمَّام,audio.word.hammam,hammam,hammam.mp3,home
22,word.saabun,home-22,صابون,صَابُون,audio.word.saabun,saabun,saabun.mp3,home
23,word.minshafa,home-23,منشفة,مِنْشَفَة,audio.word.minshafa,minshafa,minshafa.mp3,home
24,word.furshaa,home-24,فرشاة,فُرْشَاة,audio.word.furshaa,furshaa,furshaa.mp3,home
25,word.majun,home-25,معجون,مَعْجُون,audio.word.majun,majun,majun.mp3,home
26,word.musht,home-26,مشط,مُشْط,audio.word.musht,musht,musht.mp3,home
27,word.kub,home-27,كوب,كُوب,audio.word.kub,kub,kub.mp3,home
28,word.sahn,home-28,صحن,صَحْن,audio.word.sahn,sahn,sahn.mp3,home
29,word.milaqa,home-29,ملعقة,مِلْعَقَة,audio.word.milaqa,milaqa,milaqa.mp3,home
30,word.shawka,home-30,شوكة,شَوْكَة,audio.word.shawka,shawka,shawka.mp3,home
31,word.sikkin,home-31,سكين,سِكِّين,audio.word.sikkin,sikkin,sikkin.mp3,home
32,word.qidr,home-32,قدر,قِدْر,audio.word.qidr,qidr,qidr.mp3,home
33,word.miqlaa,home-33,مقلاة,مِقْلَاة,audio.word.miqlaa,miqlaa,miqlaa.mp3,home
34,word.ibriq,home-34,إبريق,إِبْرِيق,audio.word.ibriq,ibriq,ibriq.mp3,home
35,word.salla,home-35,سلة,سَلَّة,audio.word.salla,salla,salla.mp3,home
36,word.daraj,home-36,درج,دَرَج,audio.word.daraj,daraj,daraj.mp3,home
37,word.saqf,home-37,سقف,سَقْف,audio.word.saqf,saqf,saqf.mp3,home
38,word.jidaar,home-38,جدار,جِدَار,audio.word.jidaar,jidaar,jidaar.mp3,home
39,word.ardiyya,home-39,أرضية,أَرْضِيَّة,audio.word.ardiyya,ardiyya,ardiyya.mp3,home
40,word.hadiqa,home-40,حديقة,حَدِيقَة,audio.word.hadiqa,hadiqa,hadiqa.mp3,home
41,word.miftah,home-41,مفتاح,مِفْتَاح,audio.word.miftah,miftah,miftah.mp3,home
42,word.qufl,home-42,قفل,قُفْل,audio.word.qufl,qufl,qufl.mp3,home
43,word.jaras,home-43,جرس,جَرَس,audio.word.jaras,jaras,jaras.mp3,home
44,word.sitaara,home-44,ستارة,سِتَارَة,audio.word.sitaara,sitaara,sitaara.mp3,home
45,word.arika,home-45,أريكة,أَرِيكَة,audio.word.arika,arika,arika.mp3,home
46,word.raff,home-46,رف,رَفّ,audio.word.raff,raff,raff.mp3,home
47,word.sunduq,home-47,صندوق,صُنْدُوق,audio.word.sunduq,sunduq,sunduq.mp3,home
48,word.mirwaha,home-48,مروحة,مِرْوَحَة,audio.word.mirwaha,mirwaha,mirwaha.mp3,home
49,word.haatif,home-49,هاتف,هَاتِف,audio.word.haatif,haatif,haatif.mp3,home
50,word.mizalla,home-50,مظلة,مِظَلَّة,audio.word.mizalla,mizalla,mizalla.mp3,home
