index,content_id,legacy_id,arabic,diacritized,audio_asset_id,audio_basename,audio_filename,category
1,word.madrasa,school-1,مدرسة,مَدْرَسَة,audio.word.madrasa,madrasa,madrasa.mp3,school
2,word.muallim,school-2,معلم,مُعَلِّم,audio.word.muallim,muallim,muallim.mp3,school
3,word.muallima,school-3,معلمة,مُعَلِّمَة,audio.word.muallima,muallima,muallima.mp3,school
4,word.tilmidh,school-4,تلميذ,تِلْمِيذ,audio.word.tilmidh,tilmidh,tilmidh.mp3,school
5,word.fasl,school-5,فصل,فَصْل,audio.word.fasl,fasl,fasl.mp3,school
6,word.kitab,school-6,كتاب,كِتَاب,audio.word.kitab,kitab,kitab.mp3,school
7,word.daftar,school-7,دفتر,دَفْتَر,audio.word.daftar,daftar,daftar.mp3,school
8,word.qalam,school-8,قلم,قَلَم,audio.word.qalam,qalam,qalam.mp3,school
9,word.mimhaa,school-9,ممحاة,مِمْحَاة,audio.word.mimhaa,mimhaa,mimhaa.mp3,school
10,word.mistara,school-10,مسطرة,مِسْطَرَة,audio.word.mistara,mistara,mistara.mp3,school
11,word.haqiba,school-11,حقيبة,حَقِيبَة,audio.word.haqiba,haqiba,haqiba.mp3,school
12,word.sabbura,school-12,سبورة,سَبُّورَة,audio.word.sabbura,sabbura,sabbura.mp3,school
13,word.tabaashir,school-13,طباشير,طَبَاشِير,audio.word.tabaashir,tabaashir,tabaashir.mp3,school
14,word.alwaan,school-14,ألوان,أَلْوَان,audio.word.alwaan,alwaan,alwaan.mp3,school
15,word.miqass,school-15,مقص,مِقَصّ,audio.word.miqass,miqass,miqass.mp3,school
16,word.ghiraa,school-16,غراء,غِرَاء,audio.word.ghiraa,ghiraa,ghiraa.mp3,school
17,word.waraqa,school-17,ورقة,وَرَقَة,audio.word.waraqa,waraqa,waraqa.mp3,school
18,word.rasm,school-18,رسم,رَسْم,audio.word.rasm,rasm,rasm.mp3,school
19,word.dars,school-19,درس,دَرْس,audio.word.dars,dars,dars.mp3,school
20,word.waajib,school-20,واجب,وَاجِب,audio.word.waajib,waajib,waajib.mp3,school
21,word.imtihaan,school-21,امتحان,اِمْتِحَان,audio.word.imtihaan,imtihaan,imtihaan.mp3,school
22,word.suwaal,school-22,سؤال,سُؤَال,audio.word.suwaal,suwaal,suwaal.mp3,school
23,word.jawaab,school-23,جواب,جَوَاب,audio.word.jawaab,jawaab,jawaab.mp3,school
24,word.harf,school-24,حرف,حَرْف,audio.word.harf,harf,harf.mp3,school
25,word.kalima,school-25,كلمة,كَلِمَة,audio.word.kalima,kalima,kalima.mp3,school
26,word.jumla,school-26,جملة,جُمْلَة,audio.word.jumla,jumla,jumla.mp3,school
27,word.qissa,school-27,قصة,قِصَّة,audio.word.qissa,qissa,qissa.mp3,school
28,word.qiraa,school-28,قراءة,قِرَاءَة,audio.word.qiraa,qiraa,qiraa.mp3,school
29,word.kitaaba,school-29,كتابة,كِتَابَة,audio.word.kitaaba,kitaaba,kitaaba.mp3,school
30,word.hisaab,school-30,حساب,حِسَاب,audio.word.hisaab,hisaab,hisaab.mp3,school
31,word.ilm,school-31,علم,عِلْم,audio.word.ilm,ilm,ilm.mp3,school
32,word.maktaba,school-32,مكتبة,مَكْتَبَة,audio.word.maktaba,maktaba,maktaba.mp3,school
33,word.maktab,school-33,مكتب,مَكْتَب,audio.word.maktab,maktab,maktab.mp3,school
34,word.jarasu_almadrasa,school-34,جرس المدرسة,جَرَسُ المَدْرَسَة,audio.word.jarasu_almadrasa,jarasu_almadrasa,jarasu_almadrasa.mp3,school
35,word.fusha,school-35,فسحة,فُسْحَة,audio.word.fusha,fusha,fusha.mp3,school
36,word.malab,school-36,ملعب,مَلْعَب,audio.word.malab,malab,malab.mp3,school
37,word.sadiqu_alssaff,school-37,صديق الصف,صَدِيقُ الصَّفّ,audio.word.sadiqu_alssaff,sadiqu_alssaff,sadiqu_alssaff.mp3,school
38,word.najma,school-38,نجمة,نَجْمَة,audio.word.najma,najma,najma.mp3,school
39,word.shahaada,school-39,شهادة,شَهَادَة,audio.word.shahaada,shahaada,shahaada.mp3,school
40,word.haasub,school-40,حاسوب,حَاسُوب,audio.word.haasub,haasub,haasub.mp3,school
