index,content_id,legacy_id,arabic,diacritized,audio_asset_id,audio_basename,audio_filename,category
1,word.shajara,nature-1,شجرة,شَجَرَة,audio.word.shajara,shajara,shajara.mp3,nature
2,word.zahra,nature-2,زهرة,زَهْرَة,audio.word.zahra,zahra,zahra.mp3,nature
3,word.warda,nature-3,وردة,وَرْدَة,audio.word.warda,warda,warda.mp3,nature
4,word.waraqa,nature-4,ورقة,وَرَقَة,audio.word.waraqa,waraqa,waraqa.mp3,nature
5,word.ushb,nature-5,عشب,عُشْب,audio.word.ushb,ushb,ushb.mp3,nature
6,word.ghusn,nature-6,غصن,غُصْن,audio.word.ghusn,ghusn,ghusn.mp3,nature
7,word.jadhr,nature-7,جذر,جَذْر,audio.word.jadhr,jadhr,jadhr.mp3,nature
8,word.badhra,nature-8,بذرة,بَذْرَة,audio.word.badhra,badhra,badhra.mp3,nature
9,word.nabaatu_saghir,nature-9,نبات صغير,نَبَاتٌ صَغِير,audio.word.nabaatu_saghir,nabaatu_saghir,nabaatu_saghir.mp3,nature
10,word.ghaaba,nature-10,غابة,غَابَة,audio.word.ghaaba,ghaaba,ghaaba.mp3,nature
11,word.jabal,nature-11,جبل,جَبَل,audio.word.jabal,jabal,jabal.mp3,nature
12,word.tall,nature-12,تل,تَلّ,audio.word.tall,tall,tall.mp3,nature
13,word.waadi,nature-13,واد,وَادٍ,audio.word.waadi,waadi,waadi.mp3,nature
14,word.sahraa,nature-14,صحراء,صَحْرَاء,audio.word.sahraa,sahraa,sahraa.mp3,nature
15,word.raml,nature-15,رمل,رَمْل,audio.word.raml,raml,raml.mp3,nature
16,word.hajar,nature-16,حجر,حَجَر,audio.word.hajar,hajar,hajar.mp3,nature
17,word.turaab,nature-17,تراب,تُرَاب,audio.word.turaab,turaab,turaab.mp3,nature
18,word.nahr,nature-18,نهر,نَهْر,audio.word.nahr,nahr,nahr.mp3,nature
19,word.buhayra,nature-19,بحيرة,بُحَيْرَة,audio.word.buhayra,buhayra,buhayra.mp3,nature
20,word.shallaal,nature-20,شلال,شَلَّال,audio.word.shallaal,shallaal,shallaal.mp3,nature
21,word.ayn_maa,nature-21,عين ماء,عَيْن مَاء,audio.word.ayn_maa,ayn_maa,ayn_maa.mp3,nature
22,word.matar,nature-22,مطر,مَطَر,audio.word.matar,matar,matar.mp3,nature
23,word.thalj,nature-23,ثلج,ثَلْج,audio.word.thalj,thalj,thalj.mp3,nature
24,word.barad,nature-24,برد,بَرَد,audio.word.barad,barad,barad.mp3,nature
25,word.rih,nature-25,ريح,رِيح,audio.word.rih,rih,rih.mp3,nature
26,word.aasifa,nature-26,عاصفة,عَاصِفَة,audio.word.aasifa,aasifa,aasifa.mp3,nature
27,word.sahaab,nature-27,سحاب,سَحَاب,audio.word.sahaab,sahaab,sahaab.mp3,nature
28,word.dabaab,nature-28,ضباب,ضَبَاب,audio.word.dabaab,dabaab,dabaab.mp3,nature
29,word.qawsu_quzah,nature-29,قوس قزح,قَوْسُ قُزَح,audio.word.qawsu_quzah,qawsu_quzah,qawsu_quzah.mp3,nature
30,word.barq,nature-30,برق,بَرْق,audio.word.barq,barq,barq.mp3,nature
31,word.rad,nature-31,رعد,رَعْد,audio.word.rad,rad,rad.mp3,nature
32,word.nar,nature-32,نار,نَار,audio.word.nar,nar,nar.mp3,nature
33,word.dukhaan,nature-33,دخان,دُخَان,audio.word.dukhaan,dukhaan,dukhaan.mp3,nature
34,word.jalid,nature-34,جليد,جَلِيد,audio.word.jalid,jalid,jalid.mp3,nature
35,word.tin_2,nature-35,طين,طِين,audio.word.tin_2,tin_2,tin_2.mp3,nature
36,word.kahf,nature-36,كهف,كَهْف,audio.word.kahf,kahf,kahf.mp3,nature
37,word.jazira,nature-37,جزيرة,جَزِيرَة,audio.word.jazira,jazira,jazira.mp3,nature
38,word.shaatiy,nature-38,شاطئ,شَاطِئ,audio.word.shaatiy,shaatiy,shaatiy.mp3,nature
39,word.bustaan,nature-39,بستان,بُسْتَان,audio.word.bustaan,bustaan,bustaan.mp3,nature
40,word.mazraa,nature-40,مزرعة,مَزْرَعَة,audio.word.mazraa,mazraa,mazraa.mp3,nature
41,word.haql,nature-41,حقل,حَقْل,audio.word.haql,haql,haql.mp3,nature
42,word.qamh,nature-42,قمح,قَمْح,audio.word.qamh,qamh,qamh.mp3,nature
43,word.nakhla,nature-43,نخلة,نَخْلَة,audio.word.nakhla,nakhla,nakhla.mp3,nature
44,word.sabbaar,nature-44,صبار,صَبَّار,audio.word.sabbaar,sabbaar,sabbaar.mp3,nature
45,word.fitr,nature-45,فطر,فِطْر,audio.word.fitr,fitr,fitr.mp3,nature
