index,content_id,legacy_id,arabic,diacritized,audio_asset_id,audio_basename,audio_filename,category
1,word.usfur,birds-1,عصفور,عُصْفُور,audio.word.usfur,usfur,usfur.mp3,birds
2,word.hamaama,birds-2,حمامة,حَمَامَة,audio.word.hamaama,hamaama,hamaama.mp3,birds
3,word.babbaghaa,birds-3,ببغاء,بَبَّغَاء,audio.word.babbaghaa,babbaghaa,babbaghaa.mp3,birds
4,word.nasr,birds-4,نسر,نَسْر,audio.word.nasr,nasr,nasr.mp3,birds
5,word.saqr,birds-5,صقر,صَقْر,audio.word.saqr,saqr,saqr.mp3,birds
6,word.buma,birds-6,بومة,بُومَة,audio.word.buma,buma,buma.mp3,birds
7,word.taawus,birds-7,طاووس,طَاوُوس,audio.word.taawus,taawus,taawus.mp3,birds
8,word.bajaa,birds-8,بجعة,بَجَعَة,audio.word.bajaa,bajaa,bajaa.mp3,birds
9,word.naama,birds-9,نعامة,نَعَامَة,audio.word.naama,naama,naama.mp3,birds
10,word.ghuraab,birds-10,غراب,غُرَاب,audio.word.ghuraab,ghuraab,ghuraab.mp3,birds
11,word.dik,birds-11,ديك,دِيك,audio.word.dik,dik,dik.mp3,birds
12,word.dajaja,birds-12,دجاجة,دَجَاجَة,audio.word.dajaja,dajaja,dajaja.mp3,birds
13,word.katkut,birds-13,كتكوت,كَتْكُوت,audio.word.katkut,katkut,katkut.mp3,birds
14,word.batta,birds-14,بطة,بَطَّة,audio.word.batta,batta,batta.mp3,birds
15,word.iwazza,birds-15,إوزة,إِوَزَّة,audio.word.iwazza,iwazza,iwazza.mp3,birds
16,word.falaaminghu,birds-16,فلامنغو,فَلَامِنْغُو,audio.word.falaaminghu,falaaminghu,falaaminghu.mp3,birds
17,word.batriq,birds-17,بطريق,بَطْرِيق,audio.word.batriq,batriq,batriq.mp3,birds
18,word.taayiru_tannaan,birds-18,طائر طنان,طَائِرٌ طَنَّان,audio.word.taayiru_tannaan,taayiru_tannaan,taayiru_tannaan.mp3,birds
19,word.laqlaq,birds-19,لقلق,لَقْلَق,audio.word.laqlaq,laqlaq,laqlaq.mp3,birds
20,word.sununu,birds-20,سنونو,سُنُونُو,audio.word.sununu,sununu,sununu.mp3,birds
21,word.nahla,birds-21,نحلة,نَحْلَة,audio.word.nahla,nahla,nahla.mp3,birds
22,word.farasha,birds-22,فراشة,فَرَاشَة,audio.word.farasha,farasha,farasha.mp3,birds
23,word.namla,birds-23,نملة,نَمْلَة,audio.word.namla,namla,namla.mp3,birds
24,word.sursur,birds-24,صرصور,صُرْصُور,audio.word.sursur,sursur,sursur.mp3,birds
25,word.jundub,birds-25,جندب,جُنْدُب,audio.word.jundub,jundub,jundub.mp3,birds
26,word.ankabut,birds-26,عنكبوت,عَنْكَبُوت,audio.word.ankabut,ankabut,ankabut.mp3,birds
27,word.dhubaaba,birds-27,ذبابة,ذُبَابَة,audio.word.dhubaaba,dhubaaba,dhubaaba.mp3,birds
28,word.bauda,birds-28,بعوضة,بَعُوضَة,audio.word.bauda,bauda,bauda.mp3,birds
29,word.khunfusaa,birds-29,خنفساء,خُنْفُسَاء,audio.word.khunfusaa,khunfusaa,khunfusaa.mp3,birds
30,word.duda,birds-30,دودة,دُودَة,audio.word.duda,duda,duda.mp3,birds
31,word.yaraqa,birds-31,يرقة,يَرَقَة,audio.word.yaraqa,yaraqa,yaraqa.mp3,birds
32,word.aqrab,birds-32,عقرب,عَقْرَب,audio.word.aqrab,aqrab,aqrab.mp3,birds
33,word.halazun,birds-33,حلزون,حَلَزُون,audio.word.halazun,halazun,halazun.mp3,birds
34,word.dasuqa,birds-34,دعسوقة,دَعْسُوقَة,audio.word.dasuqa,dasuqa,dasuqa.mp3,birds
35,word.yasub,birds-35,يعسوب,يَعْسُوب,audio.word.yasub,yasub,yasub.mp3,birds
