index,content_id,legacy_id,arabic,diacritized,audio_asset_id,audio_basename,audio_filename,category
1,word.shams,sky-1,شمس,شَمْس,audio.word.shams,shams,shams.mp3,sky
2,word.qamar,sky-2,قمر,قَمَر,audio.word.qamar,qamar,qamar.mp3,sky
3,word.najma,sky-3,نجمة,نَجْمَة,audio.word.najma,najma,najma.mp3,sky
4,word.sama,sky-4,سماء,سَمَاء,audio.word.sama,sama,sama.mp3,sky
5,word.kawkab,sky-5,كوكب,كَوْكَب,audio.word.kawkab,kawkab,kawkab.mp3,sky
6,word.ard,sky-6,أرض,أَرْض,audio.word.ard,ard,ard.mp3,sky
7,word.fadaa,sky-7,فضاء,فَضَاء,audio.word.fadaa,fadaa,fadaa.mp3,sky
8,word.majarra,sky-8,مجرة,مَجَرَّة,audio.word.majarra,majarra,majarra.mp3,sky
9,word.shihaab,sky-9,شهاب,شِهَاب,audio.word.shihaab,shihaab,shihaab.mp3,sky
10,word.mudhannab,sky-10,مذنب,مُذَنَّب,audio.word.mudhannab,mudhannab,mudhannab.mp3,sky
11,word.hilaal,sky-11,هلال,هِلَال,audio.word.hilaal,hilaal,hilaal.mp3,sky
12,word.badr,sky-12,بدر,بَدْر,audio.word.badr,badr,badr.mp3,sky
13,word.kusuf,sky-13,كسوف,كُسُوف,audio.word.kusuf,kusuf,kusuf.mp3,sky
14,word.shuruq,sky-14,شروق,شُرُوق,audio.word.shuruq,shuruq,shuruq.mp3,sky
15,word.ghurub,sky-15,غروب,غُرُوب,audio.word.ghurub,ghurub,ghurub.mp3,sky
16,word.nahaar,sky-16,نهار,نَهَار,audio.word.nahaar,nahaar,nahaar.mp3,sky
17,word.layl,sky-17,ليل,لَيْل,audio.word.layl,layl,layl.mp3,sky
18,word.fajr,sky-18,فجر,فَجْر,audio.word.fajr,fajr,fajr.mp3,sky
19,word.zill,sky-19,ظل,ظِلّ,audio.word.zill,zill,zill.mp3,sky
20,word.daw,sky-20,ضوء,ضَوْء,audio.word.daw,daw,daw.mp3,sky
