index,content_id,legacy_id,arabic,diacritized,audio_asset_id,audio_basename,audio_filename,category
1,word.yakul,verbs-1,يأكل,يَأْكُل,audio.word.yakul,yakul,yakul.mp3,verbs
2,word.yashrab,verbs-2,يشرب,يَشْرَب,audio.word.yashrab,yashrab,yashrab.mp3,verbs
3,word.yanam,verbs-3,ينام,يَنَام,audio.word.yanam,yanam,yanam.mp3,verbs
4,word.yastayqiz,verbs-4,يستيقظ,يَسْتَيْقِظ,audio.word.yastayqiz,yastayqiz,yastayqiz.mp3,verbs
5,word.yalab,verbs-5,يلعب,يَلْعَب,audio.word.yalab,yalab,yalab.mp3,verbs
6,word.yajri,verbs-6,يجري,يَجْرِي,audio.word.yajri,yajri,yajri.mp3,verbs
7,word.yamshi,verbs-7,يمشي,يَمْشِي,audio.word.yamshi,yamshi,yamshi.mp3,verbs
8,word.yaqfiz,verbs-8,يقفز,يَقْفِز,audio.word.yaqfiz,yaqfiz,yaqfiz.mp3,verbs
9,word.yajlis,verbs-9,يجلس,يَجْلِس,audio.word.yajlis,yajlis,yajlis.mp3,verbs
10,word.yaqif,verbs-10,يقف,يَقِف,audio.word.yaqif,yaqif,yaqif.mp3,verbs
11,word.yaqra,verbs-11,يقرأ,يَقْرَأ,audio.word.yaqra,yaqra,yaqra.mp3,verbs
12,word.yaktub,verbs-12,يكتب,يَكْتُب,audio.word.yaktub,yaktub,yaktub.mp3,verbs
13,word.yarsum,verbs-13,يرسم,يَرْسُم,audio.word.yarsum,yarsum,yarsum.mp3,verbs
14,word.yughanni,verbs-14,يغني,يُغَنِّي,audio.word.yughanni,yughanni,yughanni.mp3,verbs
15,word.yarqus,verbs-15,يرقص,يَرْقُص,audio.word.yarqus,yarqus,yarqus.mp3,verbs
16,word.yadhak,verbs-16,يضحك,يَضْحَك,audio.word.yadhak,yadhak,yadhak.mp3,verbs
17,word.yabki,verbs-17,يبكي,يَبْكِي,audio.word.yabki,yabki,yabki.mp3,verbs
18,word.yabtasim,verbs-18,يبتسم,يَبْتَسِم,audio.word.yabtasim,yabtasim,yabtasim.mp3,verbs
19,word.yatakallam,verbs-19,يتكلم,يَتَكَلَّم,audio.word.yatakallam,yatakallam,yatakallam.mp3,verbs
20,word.yasma,verbs-20,يسمع,يَسْمَع,audio.word.yasma,yasma,yasma.mp3,verbs
21,word.yanzur,verbs-21,ينظر,يَنْظُر,audio.word.yanzur,yanzur,yanzur.mp3,verbs
22,word.yashumm,verbs-22,يشم,يَشُمّ,audio.word.yashumm,yashumm,yashumm.mp3,verbs
23,word.yalmis,verbs-23,يلمس,يَلْمِس,audio.word.yalmis,yalmis,yalmis.mp3,verbs
24,word.yaftah,verbs-24,يفتح,يَفْتَح,audio.word.yaftah,yaftah,yaftah.mp3,verbs
25,word.yughliq,verbs-25,يغلق,يُغْلِق,audio.word.yughliq,yughliq,yughliq.mp3,verbs
26,word.yusaaid,verbs-26,يساعد,يُسَاعِد,audio.word.yusaaid,yusaaid,yusaaid.mp3,verbs
27,word.yashkur,verbs-27,يشكر,يَشْكُر,audio.word.yashkur,yashkur,yashkur.mp3,verbs
28,word.yusalli,verbs-28,يصلي,يُصَلِّي,audio.word.yusalli,yusalli,yusalli.mp3,verbs
29,word.yaghsil,verbs-29,يغسل,يَغْسِل,audio.word.yaghsil,yaghsil,yaghsil.mp3,verbs
30,word.yalbas,verbs-30,يلبس,يَلْبَس,audio.word.yalbas,yalbas,yalbas.mp3,verbs
31,word.yatbukh,verbs-31,يطبخ,يَطْبُخ,audio.word.yatbukh,yatbukh,yatbukh.mp3,verbs
32,word.yunazzif,verbs-32,ينظف,يُنَظِّف,audio.word.yunazzif,yunazzif,yunazzif.mp3,verbs
33,word.yazra,verbs-33,يزرع,يَزْرَع,audio.word.yazra,yazra,yazra.mp3,verbs
34,word.yasqi,verbs-34,يسقي,يَسْقِي,audio.word.yasqi,yasqi,yasqi.mp3,verbs
35,word.yabni,verbs-35,يبني,يَبْنِي,audio.word.yabni,yabni,yabni.mp3,verbs
36,word.yashtari,verbs-36,يشتري,يَشْتَرِي,audio.word.yashtari,yashtari,yashtari.mp3,verbs
37,word.yuti,verbs-37,يعطي,يُعْطِي,audio.word.yuti,yuti,yuti.mp3,verbs
38,word.yakhudh,verbs-38,يأخذ,يَأْخُذ,audio.word.yakhudh,yakhudh,yakhudh.mp3,verbs
39,word.yahmil,verbs-39,يحمل,يَحْمِل,audio.word.yahmil,yahmil,yahmil.mp3,verbs
