index,content_id,legacy_id,arabic,diacritized,audio_asset_id,audio_basename,audio_filename,category
1,word.kabir,adjectives-1,كبير,كَبِير,audio.word.kabir,kabir,kabir.mp3,adjectives
2,word.saghir,adjectives-2,صغير,صَغِير,audio.word.saghir,saghir,saghir.mp3,adjectives
3,word.tawil,adjectives-3,طويل,طَوِيل,audio.word.tawil,tawil,tawil.mp3,adjectives
4,word.qasir,adjectives-4,قصير,قَصِير,audio.word.qasir,qasir,qasir.mp3,adjectives
5,word.sari,adjectives-5,سريع,سَرِيع,audio.word.sari,sari,sari.mp3,adjectives
6,word.bati,adjectives-6,بطيء,بَطِيء,audio.word.bati,bati,bati.mp3,adjectives
7,word.qawi,adjectives-7,قوي,قَوِيّ,audio.word.qawi,qawi,qawi.mp3,adjectives
8,word.daif,adjectives-8,ضعيف,ضَعِيف,audio.word.daif,daif,daif.mp3,adjectives
9,word.jamil,adjectives-9,جميل,جَمِيل,audio.word.jamil,jamil,jamil.mp3,adjectives
10,word.nazif,adjectives-10,نظيف,نَظِيف,audio.word.nazif,nazif,nazif.mp3,adjectives
11,word.muttasikh,adjectives-11,متسخ,مُتَّسِخ,audio.word.muttasikh,muttasikh,muttasikh.mp3,adjectives
12,word.jadid,adjectives-12,جديد,جَدِيد,audio.word.jadid,jadid,jadid.mp3,adjectives
13,word.qadim,adjectives-13,قديم,قَدِيم,audio.word.qadim,qadim,qadim.mp3,adjectives
14,word.saeed,adjectives-14,سعيد,سَعِيد,audio.word.saeed,saeed,saeed.mp3,adjectives
15,word.hazin,adjectives-15,حزين,حَزِين,audio.word.hazin,hazin,hazin.mp3,adjectives
16,word.ghaadib,adjectives-16,غاضب,غَاضِب,audio.word.ghaadib,ghaadib,ghaadib.mp3,adjectives
17,word.khaayif,adjectives-17,خائف,خَائِف,audio.word.khaayif,khaayif,khaayif.mp3,adjectives
18,word.haadiy,adjectives-18,هادئ,هَادِئ,audio.word.haadiy,haadiy,haadiy.mp3,adjectives
19,word.mutab,adjectives-19,متعب,مُتْعَب,audio.word.mutab,mutab,mutab.mp3,adjectives
20,word.nashit,adjectives-20,نشيط,نَشِيط,audio.word.nashit,nashit,nashit.mp3,adjectives
21,word.harr,adjectives-21,حار,حَارّ,audio.word.harr,harr,harr.mp3,adjectives
22,word.barid,adjectives-22,بارد,بَارِد,audio.word.barid,barid,barid.mp3,adjectives
23,word.daafiy,adjectives-23,دافئ,دَافِئ,audio.word.daafiy,daafiy,daafiy.mp3,adjectives
24,word.ratb,adjectives-24,رطب,رَطْب,audio.word.ratb,ratb,ratb.mp3,adjectives
25,word.jaaff,adjectives-25,جاف,جَافّ,audio.word.jaaff,jaaff,jaaff.mp3,adjectives
26,word.hulw,adjectives-26,حلو,حُلْو,audio.word.hulw,hulw,hulw.mp3,adjectives
27,word.maalih,adjectives-27,مالح,مَالِح,audio.word.maalih,maalih,maalih.mp3,adjectives
28,word.haamid,adjectives-28,حامض,حَامِض,audio.word.haamid,haamid,haamid.mp3,adjectives
29,word.murr,adjectives-29,مر,مُرّ,audio.word.murr,murr,murr.mp3,adjectives
30,word.ladhidh,adjectives-30,لذيذ,لَذِيذ,audio.word.ladhidh,ladhidh,ladhidh.mp3,adjectives
31,word.thaqil,adjectives-31,ثقيل,ثَقِيل,audio.word.thaqil,thaqil,thaqil.mp3,adjectives
32,word.khafif,adjectives-32,خفيف,خَفِيف,audio.word.khafif,khafif,khafif.mp3,adjectives
33,word.mumtaliy,adjectives-33,ممتلئ,مُمْتَلِئ,audio.word.mumtaliy,mumtaliy,mumtaliy.mp3,adjectives
34,word.faarigh,adjectives-34,فارغ,فَارِغ,audio.word.faarigh,faarigh,faarigh.mp3,adjectives
35,word.maftuh,adjectives-35,مفتوح,مَفْتُوح,audio.word.maftuh,maftuh,maftuh.mp3,adjectives
36,word.mughlaq,adjectives-36,مغلق,مُغْلَق,audio.word.mughlaq,mughlaq,mughlaq.mp3,adjectives
37,word.aali,adjectives-37,عال,عَالٍ,audio.word.aali,aali,aali.mp3,adjectives
38,word.munkhafid,adjectives-38,منخفض,مُنْخَفِض,audio.word.munkhafid,munkhafid,munkhafid.mp3,adjectives
39,word.qarib,adjectives-39,قريب,قَرِيب,audio.word.qarib,qarib,qarib.mp3,adjectives
40,word.baid,adjectives-40,بعيد,بَعِيد,audio.word.baid,baid,baid.mp3,adjectives
41,word.sahl,adjectives-41,سهل,سَهْل,audio.word.sahl,sahl,sahl.mp3,adjectives
42,word.sab,adjectives-42,صعب,صَعْب,audio.word.sab,sab,sab.mp3,adjectives
43,word.mudi,adjectives-43,مضيء,مُضِيء,audio.word.mudi,mudi,mudi.mp3,adjectives
44,word.muzlim,adjectives-44,مظلم,مُظْلِم,audio.word.muzlim,muzlim,muzlim.mp3,adjectives
45,word.latif,adjectives-45,لطيف,لَطِيف,audio.word.latif,latif,latif.mp3,adjectives
